duration_myr	luv	kuv	kuv_over_reference
1.000000	9.088128e+26	1.100337e-27	18.038306
3.000000	3.325065e+27	3.007460e-28	4.930262
5.000000	5.069966e+27	1.972400e-28	3.233442
10.000000	7.231520e+27	1.382835e-28	2.266943
20.000000	9.080547e+27	1.101255e-28	1.805336
30.000000	1.009524e+28	9.905654e-29	1.623878
50.000000	1.133331e+28	8.823551e-29	1.446484
80.000000	1.239277e+28	8.069221e-29	1.322823
100.000000	1.287534e+28	7.766788e-29	1.273244
150.000000	1.367177e+28	7.314344e-29	1.199073
200.000000	1.416704e+28	7.058640e-29	1.157154
300.000000	1.475582e+28	6.776988e-29	1.110982
500.000000	1.533948e+28	6.519125e-29	1.068709
800.000000	1.580248e+28	6.328120e-29	1.037397
1000.000000	1.601273e+28	6.245030e-29	1.023775
1500.000000	1.630875e+28	6.131678e-29	1.005193
2000.000000	1.643633e+28	6.084085e-29	0.997391
