z_final	mh_final	dlogm	dndm	dndlogm	mass_interval_density	p_lt_tail	tail_contribution	tail_fraction
6.000000	1.000000e+08	1.000000	9.660592401557e-08	2.224433605332e+01	2.224433605332e+01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
6.000000	1.000000e+09	1.000000	8.927299810222e-10	2.055586746371e+00	2.055586746371e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
6.000000	1.000000e+10	1.000000	6.503995351887e-12	1.497600274216e-01	1.497600274216e-01	3.000015000075e-06	4.492823286764e-07	6.902015633385e-05
6.000000	1.000000e+11	1.000000	2.799764955662e-14	6.446697050795e-03	6.446697050795e-03	9.976020000000e-01	6.431237871267e-03	9.879868736497e-01
6.000000	1.000000e+12	1.000000	3.376613603255e-17	7.774940147656e-05	7.774940147656e-05	1.000000000000e+00	7.774940147656e-05	1.194410619395e-02
8.000000	1.000000e+08	1.000000	7.133735710945e-08	1.642603350538e+01	1.642603350538e+01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
8.000000	1.000000e+09	1.000000	5.183027118979e-10	1.193436098074e+00	1.193436098074e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
8.000000	1.000000e+10	1.000000	2.481369070723e-12	5.713563432464e-02	5.713563432464e-02	4.000008000016e-06	2.285429943845e-07	2.052408811815e-04
8.000000	1.000000e+11	1.000000	4.828537897197e-15	1.111811938304e-03	1.111811938304e-03	9.990550000000e-01	1.110761276023e-03	9.975086905951e-01
8.000000	1.000000e+12	1.000000	1.105547986514e-18	2.545618313336e-06	2.545618313336e-06	1.000000000000e+00	2.545618313336e-06	2.286068523728e-03
10.000000	1.000000e+08	1.000000	4.448338225629e-08	1.024267728693e+01	1.024267728693e+01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
10.000000	1.000000e+09	1.000000	2.390890011124e-10	5.505227698602e-01	5.505227698602e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
10.000000	1.000000e+10	1.000000	6.765585085277e-13	1.557833536274e-02	1.557833536274e-02	3.000012000048e-06	4.673519302899e-08	4.162468284358e-04
10.000000	1.000000e+11	1.000000	4.873674021501e-16	1.122204915002e-04	1.122204915002e-04	9.998060000000e-01	1.121987207248e-04	9.992975021479e-01
10.000000	1.000000e+12	1.000000	1.395804078680e-20	3.213957664308e-08	3.213957664308e-08	1.000000000000e+00	3.213957664308e-08	2.862510236483e-04
12.500000	1.000000e+08	1.000000	1.982249565659e-08	4.564298300479e+00	4.564298300479e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
12.500000	1.000000e+09	1.000000	6.710765658717e-11	1.545210896834e-01	1.545210896834e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
12.500000	1.000000e+10	1.000000	8.481519091771e-14	1.952941942666e-03	1.952941942666e-03	5.000005000005e-06	9.764719478048e-09	3.172189536128e-03
12.500000	1.000000e+11	1.000000	1.332635086010e-17	3.068505683446e-06	3.068505683446e-06	9.999740000000e-01	3.068425902299e-06	9.968159926700e-01
12.500000	1.000000e+12	1.000000	1.579870040446e-23	3.637785203998e-11	3.637785203998e-11	1.000000000000e+00	3.637785203998e-11	1.181779382884e-05
