bin_left	bin_right	bin_center	total_weighted_count	phi	frac_9_9	frac_9_10	frac_10_10	frac_10_11	frac_11_11	frac_11_12	frac_12_12	frac_12_13	frac_13_13	frac_13_14
-27.00000000	-26.50000000	-26.75000000	2.035358691227e-40	4.070717382454e-40	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-26.50000000	-26.00000000	-26.25000000	3.198367856684e-24	6.396735713368e-24	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.910915393727e-01	8.908460627331e-03
-26.00000000	-25.50000000	-25.75000000	5.785917964775e-17	1.157183592955e-16	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.871761470780e-01	1.282385031475e-02	2.607228906889e-09
-25.50000000	-25.00000000	-25.25000000	1.199590357529e-13	2.399180715057e-13	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.637017119839e-01	1.362742428619e-01	2.404515016444e-05	4.042757985805e-12
-25.00000000	-24.50000000	-24.75000000	1.150646905467e-11	2.301293810934e-11	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.712269757240e-01	7.223863316408e-01	6.385506113940e-03	1.186521125319e-06	1.093993984898e-13
-24.50000000	-24.00000000	-24.25000000	1.846552288095e-10	3.693104576190e-10	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	6.994898753329e-01	2.979112769295e-01	2.598689440045e-03	1.582975710646e-07	3.017826926118e-15
-24.00000000	-23.50000000	-23.75000000	2.103098093218e-09	4.206196186436e-09	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.769277932821e-02	7.470675542010e-01	2.248112529086e-01	4.284090913020e-04	4.470920419041e-09	9.148840260130e-17
-23.50000000	-23.00000000	-23.25000000	1.942471778091e-08	3.884943556181e-08	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.025983181665e-01	8.284992602176e-01	6.888939606268e-02	1.302537962687e-05	1.735527733309e-10	9.222510955461e-20
-23.00000000	-22.50000000	-22.75000000	1.305372443478e-07	2.610744886957e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.499421970014e-01	7.457477995432e-01	4.309370829747e-03	6.326256900244e-07	3.081369602109e-14	0.000000000000e+00
-22.50000000	-22.00000000	-22.25000000	6.295614554146e-07	1.259122910829e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.149912077789e-03	6.868805035492e-01	3.107118058501e-01	2.577784362586e-04	8.661323374261e-11	0.000000000000e+00	0.000000000000e+00
