bin_left	bin_right	bin_center	total_weighted_count	phi	frac_9_10	frac_10_11	frac_11_12	frac_12_13	frac_13_14	frac_14_15	frac_15_16
-31.00000000	-30.50000000	-30.75000000	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-30.50000000	-30.00000000	-30.25000000	1.211519121479e-193	2.423038242958e-193	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-30.00000000	-29.50000000	-29.75000000	9.566207751463e-101	1.913241550293e-100	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	1.787381461028e-54
-29.50000000	-29.00000000	-29.25000000	1.427981351284e-59	2.855962702568e-59	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	2.319899502969e-95
-29.00000000	-28.50000000	-28.75000000	1.086419243599e-38	2.172838487199e-38	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	3.863287832096e-16	4.684391913519e-116
-28.50000000	-28.00000000	-28.25000000	6.427677514117e-28	1.285535502823e-27	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	1.255007307632e-26	1.034942197151e-126
-28.00000000	-27.50000000	-27.75000000	4.143878382799e-22	8.287756765597e-22	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.989276289135e-01	1.072371086480e-03	4.006530799063e-32	8.767070540298e-133
-27.50000000	-27.00000000	-27.25000000	2.543565686209e-18	5.087131372417e-18	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.999996083442e-01	3.916557638805e-07	1.176606492629e-35	6.998283866573e-137
-27.00000000	-26.50000000	-26.75000000	7.017688878166e-16	1.403537775633e-15	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.999999944363e-01	5.563747766239e-09	2.066349431194e-38	1.057764667520e-139
-26.50000000	-26.00000000	-26.25000000	2.433185270892e-14	4.866370541783e-14	0.000000000000e+00	0.000000000000e+00	4.548124985858e-01	5.451875010395e-01	3.746598880154e-10	2.215038195459e-40	6.524082344575e-144
-26.00000000	-25.50000000	-25.75000000	3.663171062915e-13	7.326342125831e-13	0.000000000000e+00	0.000000000000e+00	7.954314703828e-01	2.045685296013e-01	1.589863936465e-11	1.013529518904e-41	0.000000000000e+00
-25.50000000	-25.00000000	-25.25000000	4.112829090573e-12	8.225658181146e-12	0.000000000000e+00	0.000000000000e+00	8.943754222989e-01	1.056245777007e-01	3.913575384705e-13	5.263301544500e-45	0.000000000000e+00
