bin_left	bin_right	bin_center	total_weighted_count	phi	frac_8_8	frac_8_9	frac_9_9	frac_9_10	frac_10_10	frac_10_11	frac_11_11	frac_11_12	frac_12_12
-26.00000000	-25.50000000	-25.75000000	4.646006348022e-19	9.292012696044e-19	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-25.50000000	-25.00000000	-25.25000000	1.388323911044e-15	2.776647822088e-15	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-25.00000000	-24.50000000	-24.75000000	1.182821187659e-13	2.365642375319e-13	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	7.333040512733e-01	2.666959487267e-01
-24.50000000	-24.00000000	-24.25000000	3.751923488753e-12	7.503846977507e-12	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.008999552583e-01	9.910004474166e-02
-24.00000000	-23.50000000	-23.75000000	6.761981484596e-11	1.352396296919e-10	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.338808993229e-01	8.487604500067e-01	1.735865067041e-02
-23.50000000	-23.00000000	-23.25000000	8.559399301312e-10	1.711879860262e-09	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.597035015484e-01	6.398312970761e-01	4.652013755593e-04
-23.00000000	-22.50000000	-22.75000000	6.808781473786e-09	1.361756294757e-08	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.559212341700e-03	8.208659650458e-01	1.765541059948e-01	2.071661766973e-05
-22.50000000	-22.00000000	-22.25000000	3.431838596780e-08	6.863677193560e-08	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.293978999297e-02	9.657074797148e-01	1.135262929951e-02	1.009926957530e-07
-22.00000000	-21.50000000	-21.75000000	1.590771236398e-07	3.181542472796e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.690782401968e-01	7.301477531783e-01	7.740066249691e-04	0.000000000000e+00
-21.50000000	-21.00000000	-21.25000000	5.372566112503e-07	1.074513222501e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	7.036187427927e-04	7.965069392927e-01	2.027835987794e-01	5.843185074635e-06	0.000000000000e+00
-21.00000000	-20.50000000	-20.75000000	1.188207322088e-06	2.376414644176e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.143410122035e-03	9.749608991709e-01	2.389561199830e-02	7.870877340226e-08	0.000000000000e+00
-20.50000000	-20.00000000	-20.25000000	2.842086379392e-06	5.684172758784e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.259274517431e-02	9.728716162387e-01	4.535638587013e-03	0.000000000000e+00	0.000000000000e+00
-20.00000000	-19.50000000	-19.75000000	6.201719285431e-06	1.240343857086e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.201066769865e-01	7.795459774221e-01	3.473455914645e-04	0.000000000000e+00	0.000000000000e+00
-19.50000000	-19.00000000	-19.25000000	1.283447928623e-05	2.566895857246e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	6.792330201672e-01	3.207636387317e-01	3.341101113317e-06	0.000000000000e+00	0.000000000000e+00
-19.00000000	-18.50000000	-18.75000000	2.654364463548e-05	5.308728927096e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.415107261068e-04	9.372765526429e-01	6.248180858150e-02	1.280495108518e-07	0.000000000000e+00	0.000000000000e+00
-18.50000000	-18.00000000	-18.25000000	5.284886788808e-05	1.056977357762e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.855516184498e-03	9.832427824387e-01	1.290170137669e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-18.00000000	-17.50000000	-17.75000000	1.032097190135e-04	2.064194380270e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.149339676201e-02	9.168838889199e-01	1.622714318002e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-17.50000000	-17.00000000	-17.25000000	1.883634236184e-04	3.767268472369e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.513007228281e-01	5.486511476903e-01	4.812948152781e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-17.00000000	-16.50000000	-16.75000000	3.289099909689e-04	6.578199819377e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.355032475884e-01	1.644955433753e-01	1.209036254599e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-16.50000000	-16.00000000	-16.25000000	5.500530376115e-04	1.100106075223e-03	0.000000000000e+00	0.000000000000e+00	1.370737506173e-03	9.580182437434e-01	4.061082759685e-02	1.911536192422e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-16.00000000	-15.50000000	-15.75000000	8.388514251028e-04	1.677702850206e-03	0.000000000000e+00	0.000000000000e+00	2.880245665089e-02	9.616457265579e-01	9.551816791136e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
