bin_left	bin_right	bin_center	total_weighted_count	phi	frac_9_9	frac_9_10	frac_10_10	frac_10_11	frac_11_11	frac_11_12	frac_12_12	frac_12_13	frac_13_13	frac_13_14
-27.00000000	-26.50000000	-26.75000000	4.788871882528e-38	9.577743765056e-38	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-26.50000000	-26.00000000	-26.25000000	7.456690338808e-25	1.491338067762e-24	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.423435904927e-01	1.576564094752e-01	3.208787733450e-11
-26.00000000	-25.50000000	-25.75000000	6.021849736640e-19	1.204369947328e-18	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.585386373796e-01	5.414594513418e-01	1.911278553158e-06	1.321951471872e-16
-25.50000000	-25.00000000	-25.25000000	1.392876900168e-15	2.785753800336e-15	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.980689784965e-01	1.931017292147e-03	4.211368614422e-09	1.500444416180e-19
-25.00000000	-24.50000000	-24.75000000	1.256354156287e-13	2.512708312575e-13	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	7.496260827578e-01	2.502071398216e-01	1.667773243059e-04	9.630991857924e-11	6.230904158266e-22
-24.50000000	-24.00000000	-24.25000000	3.691817069319e-12	7.383634138638e-12	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.980885040307e-01	1.019013852363e-01	1.011073216478e-05	8.599468520563e-13	8.287486365583e-24
-24.00000000	-23.50000000	-23.75000000	6.573940629352e-11	1.314788125870e-10	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.197450059953e-01	8.626451375497e-01	1.760972692541e-02	1.295296135677e-07	2.225019295928e-14	9.912320881374e-27
-23.50000000	-23.00000000	-23.25000000	8.463593098444e-10	1.692718619689e-09	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.535985094035e-01	6.459426731608e-01	4.588129620250e-04	4.473644358328e-09	7.684271790391e-18	0.000000000000e+00
-23.00000000	-22.50000000	-22.75000000	7.108659611322e-09	1.421731922264e-08	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.295418531585e-01	1.704394983946e-01	1.864844653993e-05	3.561842006041e-13	0.000000000000e+00	0.000000000000e+00
-22.50000000	-22.00000000	-22.25000000	4.176079545466e-08	8.352159090931e-08	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.768696600293e-02	9.730173833697e-01	9.295568197441e-03	8.242997811672e-08	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-22.00000000	-21.50000000	-21.75000000	1.892264702951e-07	3.784529405902e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.442857233942e-01	7.550762498992e-01	6.380267066312e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-21.50000000	-21.00000000	-21.25000000	5.464319547188e-07	1.092863909438e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	7.666761591159e-01	2.333190569471e-01	4.783936932467e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-21.00000000	-20.50000000	-20.75000000	1.092021449548e-06	2.184042899096e-06	0.000000000000e+00	0.000000000000e+00	1.096875545132e-03	9.683227978977e-01	3.058032655716e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-20.50000000	-20.00000000	-20.25000000	2.617016585874e-06	5.234033171747e-06	0.000000000000e+00	0.000000000000e+00	2.000629860952e-02	9.742768811591e-01	5.716820231310e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-20.00000000	-19.50000000	-19.75000000	5.939576126979e-06	1.187915225396e-05	0.000000000000e+00	0.000000000000e+00	1.993953247257e-01	8.001807829969e-01	4.238922774866e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
