bin_left	bin_right	bin_center	total_weighted_count	phi	frac_8_8	frac_8_9	frac_9_9	frac_9_10	frac_10_10	frac_10_11	frac_11_11	frac_11_12	frac_12_12
-25.50000000	-25.00000000	-25.25000000	7.003806764762e-13	1.400761352952e-12	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-25.00000000	-24.50000000	-24.75000000	3.158436347292e-10	6.316872694583e-10	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00
-24.50000000	-24.00000000	-24.25000000	3.719599396994e-09	7.439198793989e-09	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.671970677004e-01	5.328029322996e-01
-24.00000000	-23.50000000	-23.75000000	2.931263653239e-08	5.862527306478e-08	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.114078490114e-03	5.803274615347e-01	4.155584599751e-01
-23.50000000	-23.00000000	-23.25000000	2.139641619119e-07	4.279283238238e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	5.373822398252e-02	6.059336802962e-01	3.403280957213e-01
-23.00000000	-22.50000000	-22.75000000	1.225991094052e-06	2.451982188105e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.520512160668e-02	8.050553587719e-01	1.097395196215e-01
-22.50000000	-22.00000000	-22.25000000	4.908631778239e-06	9.817263556478e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.755308989557e-04	2.363786197520e-01	7.528190436660e-01	1.042680568302e-02
-22.00000000	-21.50000000	-21.75000000	1.490236668694e-05	2.980473337388e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.941943588692e-03	6.561415665894e-01	3.391849568322e-01	7.315329897703e-04
-21.50000000	-21.00000000	-21.25000000	3.437615279887e-05	6.875230559775e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.220128193503e-02	9.207174976581e-01	5.707942235220e-02	1.798054677599e-06
-21.00000000	-20.50000000	-20.75000000	7.366687514934e-05	1.473337502987e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.093497499868e-04	1.811568425875e-01	8.132016805334e-01	5.232127129115e-03	0.000000000000e+00
-20.50000000	-20.00000000	-20.25000000	1.656527910930e-04	3.313055821860e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.687495541684e-04	6.524286172513e-01	3.471729483266e-01	2.968486803644e-05	0.000000000000e+00
-20.00000000	-19.50000000	-19.75000000	3.370208888419e-04	6.740417776838e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	6.244476650146e-03	9.376218837913e-01	5.613333115969e-02	3.083988449349e-07	0.000000000000e+00
-19.50000000	-19.00000000	-19.25000000	6.515285351395e-04	1.303057070279e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	8.020706811431e-02	9.154160162876e-01	4.376915598077e-03	0.000000000000e+00	0.000000000000e+00
-19.00000000	-18.50000000	-18.75000000	9.504168810916e-04	1.900833762183e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	9.964462677282e-05	4.235464793277e-01	5.763099934100e-01	4.388263555545e-05	0.000000000000e+00	0.000000000000e+00
-18.50000000	-18.00000000	-18.25000000	1.365156737381e-03	2.730313474763e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.005295636912e-04	8.050310131357e-01	1.946674301936e-01	1.027107014997e-06	0.000000000000e+00	0.000000000000e+00
-18.00000000	-17.50000000	-17.75000000	2.122982212756e-03	4.245964425513e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	3.511836563556e-03	9.518611874256e-01	4.462697601086e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-17.50000000	-17.00000000	-17.25000000	3.292617759558e-03	6.585235519115e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	4.231824336190e-02	9.520170058536e-01	5.664750784432e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-17.00000000	-16.50000000	-16.75000000	4.953195047537e-03	9.906390095075e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	2.545291829853e-01	7.452160314317e-01	2.547855830639e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-16.50000000	-16.00000000	-16.25000000	7.175940921903e-03	1.435188184381e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	6.361954478018e-01	3.637959773846e-01	8.574813709100e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-16.00000000	-15.50000000	-15.75000000	1.009618795228e-02	2.019237590455e-02	0.000000000000e+00	0.000000000000e+00	1.220592076424e-03	8.829700119096e-01	1.158068898913e-01	2.506122640351e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-15.50000000	-15.00000000	-15.25000000	1.350344713136e-02	2.700689426271e-02	0.000000000000e+00	0.000000000000e+00	1.345118762113e-02	9.605481513441e-01	2.599988038062e-02	7.806540736294e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-15.00000000	-14.50000000	-14.75000000	1.783299966461e-02	3.566599932921e-02	0.000000000000e+00	0.000000000000e+00	1.469087001095e-01	8.501535749323e-01	2.937724958156e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-14.50000000	-14.00000000	-14.25000000	2.579948508995e-02	5.159897017991e-02	0.000000000000e+00	0.000000000000e+00	5.007461759015e-01	4.989440976029e-01	3.097264955981e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-14.00000000	-13.50000000	-13.75000000	3.610712059685e-02	7.221424119371e-02	0.000000000000e+00	5.297096818250e-05	8.026772957571e-01	1.972340449442e-01	3.568833057010e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-13.50000000	-13.00000000	-13.25000000	5.034164419660e-02	1.006832883932e-01	0.000000000000e+00	3.508348414411e-03	9.373685588056e-01	5.911429443230e-02	8.798347678727e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-13.00000000	-12.50000000	-12.75000000	7.109362564737e-02	1.421872512947e-01	0.000000000000e+00	5.868747549843e-02	9.296379499385e-01	1.167457456310e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-12.50000000	-12.00000000	-12.25000000	9.849188315960e-02	1.969837663192e-01	0.000000000000e+00	3.005236311258e-01	6.973751218269e-01	2.100383362928e-03	8.636843675497e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-12.00000000	-11.50000000	-11.75000000	1.358775399079e-01	2.717550798158e-01	0.000000000000e+00	6.453753760596e-01	3.542758613450e-01	3.487625953727e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-11.50000000	-11.00000000	-11.25000000	1.855309054467e-01	3.710618108934e-01	3.952502119959e-04	8.624276414279e-01	1.371212863990e-01	5.582196118392e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-11.00000000	-10.50000000	-10.75000000	2.572896254628e-01	5.145792509256e-01	2.089331266922e-02	9.415041662813e-01	3.759306571044e-02	9.455339051554e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-10.50000000	-10.00000000	-10.25000000	3.468596125920e-01	6.937192251839e-01	1.682355220788e-01	8.223702798828e-01	9.387765707073e-03	6.432331264892e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-10.00000000	-9.50000000	-9.75000000	4.472384039062e-01	8.944768078124e-01	4.640299914266e-01	5.336708070284e-01	2.297846688787e-03	1.354856281224e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-9.50000000	-9.00000000	-9.25000000	5.547700684937e-01	1.109540136987e+00	7.240051014968e-01	2.752586814346e-01	7.348988291451e-04	1.318239422473e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-9.00000000	-8.50000000	-8.75000000	6.932290479348e-01	1.386458095870e+00	8.877422236364e-01	1.119989733501e-01	2.577961046066e-04	1.006908913506e-06	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-8.50000000	-8.00000000	-8.25000000	7.930424045498e-01	1.586084809100e+00	9.569545870617e-01	4.296596410909e-02	7.909003362244e-05	3.587955545170e-07	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-8.00000000	-7.50000000	-7.75000000	7.554820421427e-01	1.510964084285e+00	9.810846413070e-01	1.887161672154e-02	4.374197143152e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-7.50000000	-7.00000000	-7.25000000	5.692779543164e-01	1.138555908633e+00	9.877719044545e-01	1.218079939998e-02	4.729614547746e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-7.00000000	-6.50000000	-6.75000000	3.901050070723e-01	7.802100141447e-01	9.917432700242e-01	8.229569746254e-03	2.716022944683e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-6.50000000	-6.00000000	-6.25000000	1.983664735981e-01	3.967329471962e-01	9.918832130059e-01	8.064896962582e-03	5.189003132747e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-6.00000000	-5.50000000	-5.75000000	1.010815484554e-01	2.021630969107e-01	9.913817068872e-01	8.601790245909e-03	1.650286673843e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-5.50000000	-5.00000000	-5.25000000	5.311119413874e-02	1.062223882775e-01	9.903048530921e-01	9.622295178700e-03	7.285172914008e-05	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-5.00000000	-4.50000000	-4.75000000	2.860500977068e-02	5.721001954137e-02	9.901911298385e-01	9.808870161260e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-4.50000000	-4.00000000	-4.25000000	1.695179178095e-02	3.390358356189e-02	9.859666038508e-01	1.386097945781e-02	1.724166912188e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-4.00000000	-3.50000000	-3.75000000	8.885681489708e-03	1.777136297942e-02	9.878287501316e-01	1.217124986837e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-3.50000000	-3.00000000	-3.25000000	5.347326972005e-03	1.069465394401e-02	9.878873879929e-01	1.211261200681e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-3.00000000	-2.50000000	-2.75000000	3.367994925569e-03	6.735989851139e-03	9.895459918360e-01	1.013475952611e-02	3.192486382045e-04	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-2.50000000	-2.00000000	-2.25000000	2.111885981988e-03	4.223771963975e-03	9.851681887153e-01	1.483181128469e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-2.00000000	-1.50000000	-1.75000000	1.438578901228e-03	2.877157802455e-03	9.922061709338e-01	7.793829065906e-03	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-1.50000000	-1.00000000	-1.25000000	9.550863593555e-04	1.910172718711e-03	9.884823339150e-01	1.151766608384e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-1.00000000	-0.50000000	-0.75000000	4.946810602142e-04	9.893621204284e-04	9.491629882283e-01	5.083701177219e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
-0.50000000	0.00000000	-0.25000000	2.431632700901e-04	4.863265401802e-04	9.830682049409e-01	1.693179505821e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
0.00000000	0.50000000	0.25000000	1.889634694567e-04	3.779269389135e-04	9.491200748528e-01	5.087992513775e-02	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
0.50000000	1.00000000	0.75000000	7.087974331732e-05	1.417594866346e-04	1.000000000025e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
1.00000000	1.50000000	1.25000000	2.052168903965e-05	4.104337807931e-05	1.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
1.50000000	2.00000000	1.75000000	1.103936952447e-04	2.207873904894e-04	1.000000000016e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
2.00000000	2.50000000	2.25000000	2.694925457014e-05	5.389850914028e-05	1.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
2.50000000	3.00000000	2.75000000	7.800621069975e-06	1.560124213995e-05	1.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
3.00000000	3.50000000	3.25000000	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
3.50000000	4.00000000	3.75000000	3.851990178738e-05	7.703980357476e-05	9.999999999308e-01	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
4.00000000	4.50000000	4.25000000	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
4.50000000	5.00000000	4.75000000	3.896875018228e-05	7.793750036456e-05	1.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
5.00000000	5.50000000	5.25000000	1.523542962545e-05	3.047085925090e-05	1.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00
