log10_mh_msun,log10_epsilon_lower,log10_epsilon_mid,log10_epsilon_upper,log10_mstar_over_mh_lower,log10_mstar_over_mh_mid,log10_mstar_over_mh_upper
8.021429,-5.901768,-4.294164,-2.686559,-6.679051,-5.071447,-3.463843
8.026415,-5.905630,-4.294902,-2.684174,-6.682914,-5.072186,-3.461458
8.031401,-5.909444,-4.295612,-2.681781,-6.686728,-5.072896,-3.459064
8.036387,-5.913210,-4.296294,-2.679378,-6.690493,-5.073578,-3.456662
8.041374,-5.916928,-4.296948,-2.676968,-6.694212,-5.074232,-3.454252
8.046360,-5.920597,-4.297573,-2.674549,-6.697881,-5.074857,-3.451833
8.051346,-5.924219,-4.298171,-2.672123,-6.701502,-5.075455,-3.449407
8.056333,-5.927791,-4.298740,-2.669689,-6.705075,-5.076023,-3.446972
8.061319,-5.931316,-4.299282,-2.667247,-6.708600,-5.076565,-3.444531
8.066305,-5.934791,-4.299794,-2.664797,-6.712075,-5.077078,-3.442081
8.071292,-5.938219,-4.300280,-2.662342,-6.715503,-5.077564,-3.439625
8.076278,-5.941597,-4.300737,-2.659878,-6.718881,-5.078021,-3.437161
8.081264,-5.944928,-4.301168,-2.657408,-6.722211,-5.078451,-3.434691
8.086250,-5.948208,-4.301569,-2.654930,-6.725492,-5.078853,-3.432214
8.091237,-5.951441,-4.301944,-2.652447,-6.728724,-5.079227,-3.429730
8.096223,-5.954624,-4.302290,-2.649957,-6.731908,-5.079574,-3.427240
8.101209,-5.957758,-4.302609,-2.647460,-6.735042,-5.079893,-3.424744
8.106196,-5.960844,-4.302901,-2.644958,-6.738127,-5.080185,-3.422242
8.111182,-5.963879,-4.303164,-2.642450,-6.741163,-5.080448,-3.419733
8.116168,-5.966867,-4.303402,-2.639937,-6.744151,-5.080686,-3.417220
8.121155,-5.969803,-4.303610,-2.637416,-6.747087,-5.080893,-3.414700
8.126141,-5.972693,-4.303793,-2.634894,-6.749977,-5.081077,-3.412177
8.131127,-5.975530,-4.303946,-2.632362,-6.752813,-5.081229,-3.409645
8.136113,-5.978322,-4.304076,-2.629830,-6.755606,-5.081359,-3.407113
8.141100,-5.981059,-4.304173,-2.627287,-6.758342,-5.081456,-3.404571
8.146086,-5.983755,-4.304252,-2.624749,-6.761039,-5.081536,-3.402033
8.151072,-5.986386,-4.304289,-2.622191,-6.763669,-5.081572,-3.399475
8.156059,-5.988970,-4.304301,-2.619632,-6.766253,-5.081584,-3.396915
8.161045,-5.991523,-4.304305,-2.617087,-6.768806,-5.081588,-3.394370
8.166031,-5.994015,-4.304271,-2.614527,-6.771298,-5.081555,-3.391811
8.171018,-5.996453,-4.304206,-2.611959,-6.773736,-5.081489,-3.389243
8.176004,-5.998846,-4.304120,-2.609394,-6.776129,-5.081403,-3.386677
8.180990,-6.001184,-4.304001,-2.606819,-6.778467,-5.081285,-3.384103
8.185976,-6.003476,-4.303861,-2.604246,-6.780760,-5.081145,-3.381530
8.190963,-6.005715,-4.303691,-2.601666,-6.782998,-5.080974,-3.378950
8.195949,-6.007906,-4.303497,-2.599087,-6.785190,-5.080780,-3.376371
8.200935,-6.010045,-4.303273,-2.596502,-6.787328,-5.080557,-3.373785
8.205922,-6.012135,-4.303026,-2.593917,-6.789418,-5.080310,-3.371201
8.210908,-6.014172,-4.302750,-2.591327,-6.791456,-5.080033,-3.368611
8.215894,-6.016161,-4.302449,-2.588738,-6.793445,-5.079733,-3.366021
8.220880,-6.018098,-4.302121,-2.586144,-6.795381,-5.079404,-3.363428
8.225867,-6.019985,-4.301767,-2.583550,-6.797268,-5.079051,-3.360834
8.230853,-6.021820,-4.301387,-2.580953,-6.799104,-5.078670,-3.358237
8.235839,-6.023605,-4.300980,-2.578356,-6.800889,-5.078264,-3.355639
8.240826,-6.025339,-4.300548,-2.575757,-6.802623,-5.077831,-3.353040
8.245812,-6.027022,-4.300089,-2.573156,-6.804305,-5.077372,-3.350440
8.250798,-6.028654,-4.299605,-2.570555,-6.805937,-5.076888,-3.347839
8.255785,-6.030234,-4.299093,-2.567953,-6.807518,-5.076377,-3.345236
8.260771,-6.031764,-4.298557,-2.565351,-6.809048,-5.075841,-3.342634
8.265757,-6.033242,-4.297994,-2.562747,-6.810525,-5.075278,-3.340030
8.270743,-6.034669,-4.297407,-2.560144,-6.811952,-5.074690,-3.337428
8.275730,-6.036044,-4.296792,-2.557540,-6.813327,-5.074075,-3.334824
8.280716,-6.037368,-4.296153,-2.554937,-6.814652,-5.073436,-3.332221
8.285702,-6.038640,-4.295487,-2.552333,-6.815924,-5.072770,-3.329617
8.290689,-6.039861,-4.294796,-2.549731,-6.817144,-5.072080,-3.327015
8.295675,-6.041030,-4.294079,-2.547129,-6.818313,-5.071363,-3.324412
8.300661,-6.042147,-4.293337,-2.544527,-6.819430,-5.070621,-3.321811
8.305648,-6.043212,-4.292569,-2.541927,-6.820496,-5.069853,-3.319210
8.310634,-6.044225,-4.291776,-2.539327,-6.821509,-5.069060,-3.316611
8.315620,-6.045187,-4.290958,-2.536729,-6.822470,-5.068242,-3.314013
8.320606,-6.046096,-4.290114,-2.534132,-6.823380,-5.067398,-3.311416
8.325593,-6.046953,-4.289246,-2.531538,-6.824237,-5.066529,-3.308821
8.330579,-6.047758,-4.288351,-2.528944,-6.825042,-5.065635,-3.306227
8.335565,-6.048511,-4.287432,-2.526353,-6.825795,-5.064716,-3.303637
8.340552,-6.049211,-4.286488,-2.523764,-6.826495,-5.063771,-3.301047
8.345538,-6.049860,-4.285518,-2.521177,-6.827143,-5.062802,-3.298461
8.350524,-6.050455,-4.284524,-2.518593,-6.827739,-5.061807,-3.295876
8.355511,-6.050998,-4.283505,-2.516011,-6.828282,-5.060788,-3.293295
8.360497,-6.051488,-4.282460,-2.513432,-6.828772,-5.059744,-3.290716
8.365483,-6.051926,-4.281391,-2.510857,-6.829210,-5.058675,-3.288140
8.370469,-6.052311,-4.280298,-2.508284,-6.829595,-5.057581,-3.285567
8.375456,-6.052643,-4.279179,-2.505715,-6.829927,-5.056463,-3.282999
8.380442,-6.052922,-4.278036,-2.503149,-6.830206,-5.055319,-3.280433
8.385428,-6.053149,-4.276868,-2.500587,-6.830432,-5.054152,-3.277871
