log10_mpeak_msun,log10_mstar_median_msun,log10_mstar_lower_msun,log10_mstar_upper_msun,log10_mstar_over_mpeak_median,log10_mstar_over_mpeak_lower,log10_mstar_over_mpeak_upper
9.988000,7.190413,7.154220,7.226606,-2.797587,-2.833780,-2.761394
9.997333,7.195725,7.155510,7.235939,-2.801609,-2.841823,-2.761394
10.006667,6.999964,6.955728,7.044200,-3.006702,-3.050938,-2.962466
10.016000,7.214391,7.174177,7.254606,-2.801609,-2.841823,-2.761394
10.044000,7.037298,6.993062,7.081534,-3.006702,-3.050938,-2.962466
10.053333,7.251725,7.211510,7.291939,-2.801609,-2.841823,-2.761394
10.062667,7.261058,7.220844,7.301273,-2.801609,-2.841823,-2.761394
10.137333,7.335725,7.295510,7.375939,-2.801609,-2.841823,-2.761394
10.240000,7.450456,7.406220,7.494692,-2.789544,-2.833780,-2.745308
10.268000,7.486499,7.434220,7.538777,-2.781501,-2.833780,-2.729223
10.324000,7.562606,7.506306,7.618906,-2.761394,-2.817694,-2.705094
10.352000,7.634842,7.558434,7.711249,-2.717158,-2.793566,-2.640751
10.464000,7.754885,7.686520,7.823249,-2.709115,-2.777480,-2.640751
10.641333,7.944282,7.887982,8.000583,-2.697051,-2.753351,-2.640751
11.164000,8.470971,8.418692,8.523249,-2.693029,-2.745308,-2.640751
11.173333,8.480304,8.428025,8.532583,-2.693029,-2.745308,-2.640751
11.182667,8.497680,8.445401,8.549959,-2.684987,-2.737265,-2.632708
11.192000,8.507013,8.454735,8.559292,-2.684987,-2.737265,-2.632708
11.201333,8.516347,8.464068,8.568626,-2.684987,-2.737265,-2.632708
11.210667,8.525680,8.473401,8.577959,-2.684987,-2.737265,-2.632708
11.220000,8.543056,8.498820,8.587292,-2.676944,-2.721180,-2.632708
11.229333,8.556411,8.508154,8.604668,-2.672922,-2.721180,-2.624665
11.238667,8.565744,8.517487,8.614002,-2.672922,-2.721180,-2.624665
11.248000,8.591164,8.534863,8.647464,-2.656836,-2.713137,-2.600536
11.257333,8.600497,8.544197,8.656797,-2.656836,-2.713137,-2.600536
11.266667,8.621895,8.569616,8.674173,-2.644772,-2.697051,-2.592493
11.276000,8.647314,8.611121,8.683507,-2.628686,-2.664879,-2.592493
11.285333,8.660668,8.620454,8.700883,-2.624665,-2.664879,-2.584450
11.304000,8.707485,8.671292,8.743678,-2.596515,-2.632708,-2.560322
11.350667,8.931096,8.894903,8.967289,-2.419571,-2.455764,-2.383378
11.360000,8.944450,8.912279,8.976622,-2.415550,-2.447721,-2.383378
11.481333,9.194470,9.154256,9.234685,-2.286863,-2.327078,-2.246649
11.537333,9.435457,9.403285,9.467628,-2.101877,-2.134048,-2.069705
11.574667,9.525069,9.488876,9.561262,-2.049598,-2.085791,-2.013405
11.733333,9.941108,9.904915,9.977301,-1.792225,-1.828418,-1.756032
11.780000,9.995818,9.959625,10.032011,-1.784182,-1.820375,-1.747989
11.817333,10.033151,9.996958,10.069344,-1.784182,-1.820375,-1.747989
11.826667,10.046506,10.006291,10.086720,-1.780161,-1.820375,-1.739946
11.985333,10.205172,10.164958,10.245387,-1.780161,-1.820375,-1.739946
11.994667,10.214506,10.174291,10.254720,-1.780161,-1.820375,-1.739946
12.004000,10.251989,10.183625,10.320354,-1.752011,-1.820375,-1.683646
12.013333,10.261323,10.192958,10.329687,-1.752011,-1.820375,-1.683646
12.144000,10.391989,10.323625,10.460354,-1.752011,-1.820375,-1.683646
12.153333,10.401323,10.332958,10.469687,-1.752011,-1.820375,-1.683646
12.162667,10.390549,10.342291,10.438806,-1.772118,-1.820375,-1.723861
12.172000,10.395861,10.343582,10.448139,-1.776139,-1.828418,-1.723861
12.181333,10.401172,10.352915,10.449430,-1.780161,-1.828418,-1.731903
12.190667,10.410506,10.362248,10.458763,-1.780161,-1.828418,-1.731903
12.200000,10.419839,10.371582,10.468097,-1.780161,-1.828418,-1.731903
12.209333,10.429172,10.380915,10.477430,-1.780161,-1.828418,-1.731903
12.218667,10.438506,10.390248,10.486763,-1.780161,-1.828418,-1.731903
12.228000,10.443818,10.391539,10.496097,-1.784182,-1.836461,-1.731903
12.237333,10.453151,10.400872,10.505430,-1.784182,-1.836461,-1.731903
12.246667,10.462484,10.410206,10.514763,-1.784182,-1.836461,-1.731903
12.256000,10.467796,10.419539,10.516054,-1.788204,-1.836461,-1.739946
12.265333,10.473108,10.420829,10.525387,-1.792225,-1.844504,-1.739946
12.274667,10.482441,10.430163,10.534720,-1.792225,-1.844504,-1.739946
12.284000,10.491775,10.439496,10.544054,-1.792225,-1.844504,-1.739946
12.293333,10.501108,10.448829,10.553387,-1.792225,-1.844504,-1.739946
12.302667,10.506420,10.450120,10.562720,-1.796247,-1.852547,-1.739946
12.312000,10.515753,10.459453,10.572054,-1.796247,-1.852547,-1.739946
12.321333,10.525087,10.468786,10.581387,-1.796247,-1.852547,-1.739946
12.330667,10.530399,10.470077,10.590720,-1.800268,-1.860590,-1.739946
12.340000,10.539732,10.479410,10.600054,-1.800268,-1.860590,-1.739946
12.349333,10.549065,10.488744,10.609387,-1.800268,-1.860590,-1.739946
12.358667,10.554377,10.490034,10.618720,-1.804290,-1.868633,-1.739946
12.368000,10.559689,10.499367,10.620011,-1.808311,-1.868633,-1.747989
12.377333,10.565001,10.500658,10.629344,-1.812332,-1.876676,-1.747989
12.386667,10.574334,10.509991,10.638677,-1.812332,-1.876676,-1.747989
12.396000,10.579646,10.511282,10.648011,-1.816354,-1.884718,-1.747989
12.405333,10.588979,10.520615,10.657344,-1.816354,-1.884718,-1.747989
12.414667,10.598313,10.529948,10.666677,-1.816354,-1.884718,-1.747989
12.424000,10.603625,10.531239,10.676011,-1.820375,-1.892761,-1.747989
12.433333,10.600894,10.540572,10.661215,-1.832440,-1.892761,-1.772118
12.442667,10.606206,10.541862,10.670549,-1.836461,-1.900804,-1.772118
12.452000,10.611517,10.551196,10.671839,-1.840483,-1.900804,-1.780161
12.461333,10.616829,10.552486,10.681172,-1.844504,-1.908847,-1.780161
12.470667,10.626163,10.561819,10.690506,-1.844504,-1.908847,-1.780161
12.480000,10.631475,10.563110,10.699839,-1.848525,-1.916890,-1.780161
12.489333,10.640808,10.572443,10.709172,-1.848525,-1.916890,-1.780161
12.498667,10.646120,10.573734,10.718506,-1.852547,-1.924933,-1.780161
12.508000,10.651432,10.583067,10.719796,-1.856568,-1.924933,-1.788204
12.517333,10.656744,10.584357,10.729130,-1.860590,-1.932976,-1.788204
12.526667,10.666077,10.593691,10.738463,-1.860590,-1.932976,-1.788204
12.536000,10.671389,10.594981,10.747796,-1.864611,-1.941019,-1.788204
12.545333,10.676701,10.596272,10.757130,-1.868633,-1.949062,-1.788204
12.554667,10.682013,10.605605,10.758420,-1.872654,-1.949062,-1.796247
12.564000,10.687324,10.606895,10.767753,-1.876676,-1.957105,-1.796247
12.573333,10.696658,10.616229,10.777087,-1.876676,-1.957105,-1.796247
12.582667,10.697948,10.617519,10.778377,-1.884718,-1.965147,-1.804290
12.592000,10.707282,10.626853,10.787710,-1.884718,-1.965147,-1.804290
12.601333,10.708572,10.628143,10.789001,-1.892761,-1.973190,-1.812332
12.610667,10.709862,10.629433,10.790291,-1.900804,-1.981233,-1.820375
12.620000,10.719196,10.638767,10.799625,-1.900804,-1.981233,-1.820375
12.629333,10.716465,10.640057,10.792872,-1.912869,-1.989276,-1.836461
12.638667,10.725798,10.649391,10.802206,-1.912869,-1.989276,-1.836461
12.648000,10.727088,10.650681,10.803496,-1.920912,-1.997319,-1.844504
12.657333,10.732400,10.651971,10.812829,-1.924933,-2.005362,-1.844504
12.666667,10.741734,10.661305,10.822163,-1.924933,-2.005362,-1.844504
12.676000,10.743024,10.662595,10.823453,-1.932976,-2.013405,-1.852547
12.685333,10.748336,10.671929,10.824744,-1.936997,-2.013405,-1.860590
12.694667,10.749626,10.673219,10.826034,-1.945040,-2.021448,-1.868633
12.704000,10.758960,10.682552,10.835367,-1.945040,-2.021448,-1.868633
12.713333,10.764272,10.683843,10.844701,-1.949062,-2.029491,-1.868633
12.722667,10.765562,10.685133,10.845991,-1.957105,-2.037534,-1.876676
12.732000,10.774895,10.694466,10.855324,-1.957105,-2.037534,-1.876676
12.741333,10.776186,10.695757,10.856615,-1.965147,-2.045576,-1.884718
12.750667,10.777476,10.697047,10.857905,-1.973190,-2.053619,-1.892761
12.760000,10.786810,10.706381,10.867239,-1.973190,-2.053619,-1.892761
12.769333,10.792122,10.707671,10.876572,-1.977212,-2.061662,-1.892761
12.778667,10.801455,10.717004,10.885905,-1.977212,-2.061662,-1.892761
12.788000,10.806767,10.718295,10.895239,-1.981233,-2.069705,-1.892761
12.797333,10.812079,10.719585,10.904572,-1.985255,-2.077748,-1.892761
12.806667,10.821412,10.728919,10.913905,-1.985255,-2.077748,-1.892761
12.816000,10.822702,10.730209,10.915196,-1.993298,-2.085791,-1.900804
12.825333,10.811929,10.731500,10.892357,-2.013405,-2.093834,-1.932976
12.834667,10.817240,10.740833,10.893648,-2.017426,-2.093834,-1.941019
12.844000,10.822552,10.742123,10.902981,-2.021448,-2.101877,-1.941019
12.853333,10.823843,10.743414,10.904272,-2.029491,-2.109920,-1.949062
12.862667,10.829155,10.744704,10.913605,-2.033512,-2.117962,-1.949062
12.872000,10.834466,10.754038,10.914895,-2.037534,-2.117962,-1.957105
12.881333,10.835757,10.755328,10.916186,-2.045576,-2.126005,-1.965147
12.890667,10.841069,10.764661,10.917476,-2.049598,-2.126005,-1.973190
12.900000,10.846381,10.765952,10.926810,-2.053619,-2.134048,-1.973190
12.909333,10.847671,10.767242,10.928100,-2.061662,-2.142091,-1.981233
12.918667,10.852983,10.768533,10.937433,-2.065684,-2.150134,-1.981233
12.928000,10.862316,10.777866,10.946767,-2.065684,-2.150134,-1.981233
