log10_mpeak_msun,log10_mstar_median_msun,log10_mstar_lower_msun,log10_mstar_upper_msun,log10_mstar_over_mpeak_median,log10_mstar_over_mpeak_lower,log10_mstar_over_mpeak_upper
10.500000,7.550621,7.387576,7.516989,-2.949379,-3.112424,-2.983011
10.550000,7.648106,7.488559,7.615674,-2.901894,-3.061441,-2.934326
10.600000,7.745531,7.593997,7.713993,-2.854469,-3.006003,-2.886007
10.650000,7.842889,7.698599,7.812118,-2.807111,-2.951401,-2.837882
10.700000,7.940172,7.803515,7.911090,-2.759828,-2.896485,-2.788910
10.750000,8.037372,7.907967,8.009656,-2.712628,-2.842033,-2.740344
10.800000,8.134482,8.010401,8.109481,-2.665518,-2.789599,-2.690519
10.850000,8.231495,8.114175,8.208121,-2.618505,-2.735825,-2.641879
10.900000,8.328406,8.215234,8.307009,-2.571594,-2.684766,-2.592991
10.950000,8.425213,8.318106,8.405056,-2.524787,-2.631894,-2.544944
11.000000,8.521914,8.419443,8.504256,-2.478086,-2.580557,-2.495744
11.050000,8.618510,8.520766,8.603226,-2.431490,-2.529234,-2.446774
11.100000,8.715004,8.622087,8.703309,-2.384996,-2.477913,-2.396691
11.150000,8.811394,8.723137,8.802053,-2.338606,-2.426863,-2.347947
11.200000,8.907678,8.823938,8.899283,-2.292322,-2.376062,-2.300717
11.250000,9.003843,8.924458,8.998943,-2.246157,-2.325542,-2.251057
11.300000,9.099862,9.023979,9.098364,-2.200138,-2.276021,-2.201636
11.350000,9.195687,9.124630,9.198859,-2.154313,-2.225370,-2.151141
11.400000,9.291240,9.226440,9.296838,-2.108760,-2.173560,-2.103162
11.450000,9.386407,9.326153,9.395594,-2.063593,-2.123847,-2.054406
11.500000,9.481025,9.423109,9.492800,-2.018975,-2.076891,-2.007200
11.550000,9.574881,9.521128,9.590427,-1.975119,-2.028872,-1.959573
11.600000,9.667706,9.619195,9.684998,-1.932294,-1.980805,-1.915002
11.650000,9.759173,9.713413,9.778528,-1.890827,-1.936587,-1.871472
11.700000,9.848905,9.806521,9.871753,-1.851095,-1.893479,-1.828247
11.750000,9.936480,9.896228,9.960549,-1.813520,-1.853772,-1.789451
11.800000,10.021452,9.983517,10.047163,-1.778548,-1.816483,-1.752837
11.850000,10.103368,10.065379,10.129590,-1.746632,-1.784621,-1.720410
11.900000,10.181791,10.145647,10.209278,-1.718209,-1.754353,-1.690722
11.950000,10.256326,10.220529,10.283425,-1.693674,-1.729471,-1.666575
12.000000,10.326650,10.292494,10.352007,-1.673350,-1.707506,-1.647993
12.050000,10.392525,10.358415,10.413957,-1.657475,-1.691585,-1.636043
12.100000,10.453822,10.417798,10.473156,-1.646178,-1.682202,-1.626844
12.150000,10.510528,10.473686,10.526548,-1.639472,-1.676314,-1.623452
12.200000,10.562746,10.522874,10.574577,-1.637254,-1.677126,-1.625423
12.250000,10.610689,10.570432,10.619541,-1.639311,-1.679568,-1.630459
12.300000,10.654663,10.612358,10.661641,-1.645337,-1.687642,-1.638359
